case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,sub_competency_ids,missing_controls,competency_gaps,llm_gap_description,llm_sub_competencies,failure_mode,trust_integration_split
AML.CS0040,Hacking ChatGPT’s Memories with Prompt Injection,2024-02-01,exercise,Embrace the Red,OpenAI ChatGPT,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT’s memory feature is vulnerable to manipulation via prompt injections. To execute the attack, the researcher hid a prompt injection in a shared Google Doc. When a user references the document, its contents is placed into ChatGPT’s context via the Connected App feature, and the prompt is executed, poisoning the memory with ",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0011,AML.T0048.003; AML.T0051.001; AML.T0065; AML.T0068; AML.T0080.000; AML.T0093,6,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Persistence Detection & Monitoring,IR-1; IR-2; IR-6; TR-3; TR-6,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0031: Memory Hardening,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient input/output validation and lack of AI telemetry logging hindered detection and prevention of prompt injection attacks, indicating weaknesses in both Trust Readiness cybersecurity controls and Integration Readiness model lifecycle controls.",TR-3; TR-6; IR-3; IR-8,prevention_failure,both
AML.CS0041,Rules File Backdoor: Supply Chain Attack on AI Coding Assistants,2025-03-18,exercise,Pillar Security,"Cursor, GitHub Copilot","Pillar Security researchers demonstrated how adversaries can compromise AI-generated code by injecting malicious instructions into rules files used to configure AI coding assistants like Cursor and GitHub Copilot. The attack uses invisible Unicode characters to hide malicious prompts that manipulate the AI to insert backdoors, vulnerabilities, or malicious scripts into generated code. These poison",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0011,AML.T0010.001; AML.T0048.003; AML.T0051.000; AML.T0054; AML.T0065; AML.T0067; AML.T0068; AML.T0079; AML.T0081,9,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Persistence Detection & Monitoring,IR-1; IR-2; IR-6; TR-3; TR-6,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The absence of code signing, ensemble methods, and AI telemetry logging demonstrated poor integration lifecycle controls and inadequate cybersecurity policies to prevent supply chain attacks.",TR-3; TR-6; IR-6; IR-1,prevention_failure,both
AML.CS0042,SesameOp: Novel backdoor uses OpenAI Assistants API for command and control,2025-07-01,incident,Unknown Threat Actor,OpenAI Assistants API,"The Microsoft Incident Response - Detection and Response Team (DART) investigated a compromised system where a threat actor utilized SesameOp, a backdoor implant that abuses the OpenAI Assistants API as a covert command and control channel, for espionage activities. The SesameOp malware used the OpenAI API to fetch and execute the threat actor’s commands and to exfiltrate encrypted results from th",AML.TA0014,AML.T0096,1,Integration Readiness — C2 Detection & Network Controls,IR-8,,,"No explicit competency gaps or missing controls were identified, limiting analysis of governance or integration readiness failures.",,prevention_failure,both
AML.CS0043,Malware Prototype with Embedded Prompt Injection,2025-06-25,incident,Unknown Threat Actor,"LLM malware detectors, LLM malware analysis and reverse engineering tools","Check Point Research identified a prototype malware sample in the wild that contained a prompt injection, which appeared to be designed to manipulate LLM-based malware detectors and/or analysis tools. However, the researchers did not find the prompt injection to be effective on the models they tested.  The malware sample, called Skynet, was uploaded to VirusTotal by a user in the Netherlands. It a",AML.TA0003; AML.TA0005; AML.TA0007; AML.TA0009; AML.TA0010; AML.TA0013,AML.T0015; AML.T0017; AML.T0025; AML.T0037; AML.T0051.000; AML.T0055; AML.T0065; AML.T0097,8,Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Defense Evasion Detection,IR-1; IR-6; TR-3; TR-4,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Lack of model hardening, adversarial input detection, and AI governance policies allowed prompt injection embedded in malware to manipulate AI detectors, reflecting gaps in both Trust and Integration Readiness.",TR-1; TR-3; TR-6; IR-3; IR-8,prevention_failure,both
AML.CS0044,LAMEHUG: Malware Leveraging Dynamic AI-Generated Commands,2025-06-03,incident,APT28,Ukraine’s security and defense sector,"In July 2025, Ukrainian authorities reported the emergence of LAMEHUG, a new AI-powered malware attributed to the Russian state-backed threat actor [APT28](https://attack.mitre.org/groups/G0007/) (also tracked as Forest Blizzard or UAC-0001). LAMEHUG uses a large language model (LLM) to dynamically generate commands on the infected hosts.  The campaign began with a phishing attack leveraging a com",AML.TA0001; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0009; AML.TA0010; AML.TA0015,AML.T0011; AML.T0012; AML.T0025; AML.T0037; AML.T0052; AML.T0073; AML.T0074; AML.T0102,8,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Lateral Movement Prevention; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Defense Evasion Detection,IR-1; IR-2; TR-3; TR-4,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0018: User Training; AML.M0034: Deepfake Detection; AML.M0011: Restrict Library Loading; AML.M0014: Verify AI Artifacts; AML.M0016: Vulnerability Scanning,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Deficiencies in controlling AI model access, user training, and artifact verification exposed the organization to dynamic AI-generated malware, highlighting weaknesses in governance, cybersecurity controls, and integration lifecycle management.",TR-1; TR-6; TR-7; IR-6; IR-7,prevention_failure,both
AML.CS0045,Data Exfiltration via an MCP Server used by Cursor,2025-06-24,exercise,Backslash Security Research Team,Cursor,"The Backslash Security Research Team demonstrated that a Model Context Protocol (MCP) tool can be used as a vector for an indirect prompt injection attack on Cursor, potentially leading to the execution of malicious shell commands.  The Backslash Security Research Team created a proof-of-concept MCP server capable of scraping webpages. When a user asks Cursor to use the tool to scrape a site conta",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0010; AML.TA0011; AML.TA0012; AML.TA0013,AML.T0048.000; AML.T0051.001; AML.T0053; AML.T0065; AML.T0068; AML.T0078; AML.T0079; AML.T0083; AML.T0086,9,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-3; TR-4; TR-6,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Missing generative AI guardrails, guidelines, and telemetry logging, along with improper privileged AI agent permissions, indicate failures in both AI governance policies and integration lifecycle controls to prevent indirect prompt injection.",TR-1; TR-3; TR-6; IR-1; IR-6,prevention_failure,both
AML.CS0046,Data Destruction via Indirect Prompt Injection Targeting Claude Computer-Use,2024-10-24,exercise,HiddenLayer,Claude Computer Use Agent,"Security researchers at HiddenLayer demonstrated that an indirect prompt injection targeting Claude’s Computer Use AI can lead to execution of shell commands on the victim system and destruction of user data.  The researchers embedded a prompt injection in a PDF file. When a user asked Claude Computer Use to interact with the PDF file, the prompt injection was executed. The prompt utilized jailbre",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011,AML.T0051.001; AML.T0053; AML.T0054; AML.T0065; AML.T0068; AML.T0093; AML.T0101,7,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-3; TR-6,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The absence of generative AI guardrails, alignment, and telemetry logging, combined with weak privileged AI agent permissions, reflects inadequate cybersecurity controls and integration lifecycle management to prevent destructive prompt injection.",TR-1; TR-3; TR-6; IR-1; IR-6,prevention_failure,both
AML.CS0047,Code to Deploy Destructive AI Agent Discovered in Amazon Q VS Code Extension,2025-07-13,incident,lkmanka58 (GitHub user),Amazon Q VS Code Extension,"On July 13th, 2025, a malicious actor using the GitHub username ""lkmanka58"" used an inappropriately scoped GitHub token to make a commit containing malicious code to the Amazon Q Developer Visual Studio Code (VS Code) extension repository. The commit was designed to cause the VS Code extension to deploy an Amazon Q (Amazon's generative AI assistant) agent prompted to ""clean a system to near-factor",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0011; AML.TA0013,AML.T0010.001; AML.T0011.001; AML.T0051.000; AML.T0055; AML.T0065; AML.T0101; AML.T0103,7,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-4; TR-6,AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration; AML.M0028: AI Agent Tools Permissions Configuration; AML.M0029: Human In-the-Loop for AI Agent Actions; AML.M0030: Restrict AI Agent Tool Invocation on Untrusted Data,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,Improper scoping of GitHub tokens and missing telemetry logging and AI governance policies reveal gaps in cybersecurity controls and AI lifecycle integration to prevent malicious code deployment.,TR-1; TR-3; TR-6; IR-1; IR-6,prevention_failure,both
AML.CS0048,Exposed ClawdBot Control Interfaces Leads to Credential Access and Execution,2026-01-25,exercise,Jamieson O’Reilly,ClawdBot (now OpenClaw),"A security researcher identified hundreds of exposed ClawdBot control interfaces on the public internet. ClawdBot (now OpenClaw) “is a personal AI assistant you run on your own devices. It answers you on the channels you already use … , plus extension channels. … It can speak and listen on macOS/iOS/Android, and can render a live Canvas you control.”[<sup>\[1\]</sup>][1] The researcher was able to",AML.TA0002; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0008; AML.TA0010; AML.TA0011; AML.TA0012; AML.TA0013,AML.T0000; AML.T0025; AML.T0048.003; AML.T0049; AML.T0051.001; AML.T0053; AML.T0069.002; AML.T0083; AML.T0092; AML.T0098,10,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; TR-2; TR-3; TR-4; TR-6,AML.M0032: Segmentation of AI Agent Components; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0000: Limit Public Release of Information; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,"Exposed control interfaces and lack of segmentation, access control, and generative AI guardrails indicate failures in both AI governance and integration lifecycle controls to secure AI agent components.",TR-1; TR-3; TR-6; IR-6; IR-7,prevention_failure,both
AML.CS0049,Supply Chain Compromise via Poisoned ClawdBot Skill,2026-01-26,exercise,Jamieson O’Reilly,ClawdBot (now OpenClaw),"A security researcher demonstrated a proof-of-concept supply chain attack using a poisoned ClawdBot Skill shared on ClawdHub, a Skill registry for agents. The poisoned Skill contained a prompt injection that caused ClawdBot to execute a shell command that reached the researcher’s server. Although the researcher here used this access simply to warn users about the danger, they could have instead de",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011; AML.TA0012,AML.T0008.002; AML.T0010.001; AML.T0011.002; AML.T0017; AML.T0048; AML.T0051.000; AML.T0053; AML.T0065; AML.T0074; AML.T0104,10,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-3; TR-6,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration; AML.M0027: Single-User AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"The poisoned Skill supply chain attack exposed missing generative AI guardrails, guidelines, and telemetry logging, reflecting inadequate cybersecurity policies and integration lifecycle controls for supply chain risk management.",TR-1; TR-3; TR-6; IR-1; IR-6; TR-8,prevention_failure,both
AML.CS0050,OpenClaw 1-Click Remote Code Execution,2026-02-01,exercise,DepthFirst,OpenClaw,A security researcher demonstrated a 1-click remote code execution (RCE) vulnerability to the OpenClaw AI Agent via a malicious link containing a JavaScript script that only takes milliseconds to execute. This vulnerability has been reported and is being tracked to versions of OpenClaw as CVE-2026-25253. [<sup>\[1\]</sup>][1]  OpenClaw “is a personal AI assistant you run on your own devices. It an,AML.TA0003; AML.TA0005; AML.TA0007; AML.TA0012; AML.TA0013,AML.T0011.003; AML.T0012; AML.T0017; AML.T0050; AML.T0079; AML.T0081; AML.T0105; AML.T0106; AML.T0107,9,Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Defense Evasion Detection,IR-1; IR-2; IR-6; TR-3; TR-4,,,"No explicit missing controls or competency gaps were identified, limiting assessment of governance or integration failures.",,prevention_failure,both
AML.CS0051,OpenClaw Command & Control via Prompt Injection,2026-02-03,exercise,HiddenLayer,OpenClaw,"Researchers at HiddenLayer demonstrated how a webpage can embed an indirect prompt injection that causes OpenClaw to silently execute a malicious script. Once executed, the script plants persistent malicious instructions into future system prompts, allowing the attacker to issue new commands, turning OpenClaw into a command and control agent.  What makes this attack unique is that, through a simpl",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0014,AML.T0008; AML.T0031; AML.T0051.000; AML.T0051.001; AML.T0053; AML.T0054; AML.T0065; AML.T0069.000; AML.T0069.001; AML.T0074; AML.T0078; AML.T0079; AML.T0080.001; AML.T0081; AML.T0108,15,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — C2 Detection & Network Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Persistence Detection & Monitoring,IR-1; IR-2; IR-6; IR-8; TR-2; TR-3; TR-6,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,"Insufficient model hardening, lack of ensemble methods, input restoration, and adversarial input detection, combined with missing generative AI guardrails, indicate failures in both AI lifecycle controls and cybersecurity policies.",TR-3; TR-6; IR-3; IR-8,prevention_failure,both
